,N2flow,H2Oflow,SO2flow,O2flow,T,UVC,Q
2,23418.857541899437,468.9581005586591,9.737430167597699,94.8128491620111,300.88580357142854,1,21800.0
3,22916.28851540616,970.0168067226888,9.7591036414565,94.8711484593837,301.07216216216216,1,21800.0
4,22418.552112676054,1470.6450704225351,9.7633802816901,94.9492957746478,300.71651785714283,1,21800.0
5,21915.78309859155,1970.7042253521124,9.740845070422498,94.8732394366197,300.4815178571428,1,21800.0
6,21415.176470588238,2471.53781512605,9.7675070028011,94.93837535014,300.2593693693693,1,21800.0
7,20913.136490250694,2972.16713091922,9.782729805013899,94.9192200557103,299.6823214285714,1,21800.0
8,20411.910364145657,3472.7535014005607,9.6806722689075,94.8235294117647,298.89919642857143,1,21800.0
9,19911.59663865546,3973.0616246498607,9.7366946778711,94.7787114845938,297.7074107142857,1,21800.0
10,19410.526760563378,4473.743661971831,9.7098591549295,94.83661971830979,296.2648648648649,1,21800.0
11,18909.543175487463,4973.916434540391,9.707520891364899,94.8690807799442,295.0942342342342,1,21800.0
12,19913.02808988764,3973.241573033708,9.7303370786516,94.82303370786511,294.2316964285714,1,21800.0
13,21915.735211267598,1970.7887323943664,9.676056338028099,94.8985915492957,293.56321428571425,1,21800.0
14,22915.256983240222,969.8687150837987,9.6731843575418,94.7290502793296,292.9735714285714,1,21800.0
